angry_edison;107.67%;7.42%;398.9MiB / 5.25GiB;103MB / 4.37MB;0B / 0B;112 ;07:41:17
angry_edison;85.07%;8.38%;450.3MiB / 5.25GiB;103MB / 4.46MB;0B / 0B;114 ;07:41:24
angry_edison;124.15%;6.34%;341MiB / 5.25GiB;104MB / 4.52MB;0B / 0B;68 ;07:41:31
angry_edison;131.83%;7.37%;396.2MiB / 5.25GiB;104MB / 4.57MB;0B / 0B;112 ;07:41:39
angry_edison;65.68%;7.91%;425.4MiB / 5.25GiB;105MB / 4.67MB;0B / 0B;110 ;07:41:46
angry_edison;137.54%;6.36%;342.2MiB / 5.25GiB;105MB / 4.73MB;0B / 0B;68 ;07:41:53
angry_edison;99.45%;7.47%;401.8MiB / 5.25GiB;105MB / 4.78MB;0B / 0B;119 ;07:42:00
angry_edison;83.87%;7.96%;427.8MiB / 5.25GiB;106MB / 4.86MB;0B / 0B;129 ;07:42:07
angry_edison;156.83%;6.27%;337.1MiB / 5.25GiB;107MB / 4.94MB;0B / 0B;68 ;07:42:14
angry_edison;138.11%;7.03%;377.9MiB / 5.25GiB;107MB / 4.99MB;0B / 0B;89 ;07:42:21
angry_edison;84.28%;7.78%;418.3MiB / 5.25GiB;107MB / 5.06MB;0B / 0B;109 ;07:42:28
angry_edison;144.63%;6.25%;336.2MiB / 5.25GiB;108MB / 5.14MB;0B / 0B;63 ;07:42:36
angry_edison;120.80%;7.29%;392.1MiB / 5.25GiB;108MB / 5.2MB;0B / 0B;118 ;07:42:43
angry_edison;81.69%;7.94%;427.1MiB / 5.25GiB;109MB / 5.26MB;0B / 0B;116 ;07:42:50
angry_edison;143.71%;6.35%;341.5MiB / 5.25GiB;109MB / 5.35MB;0B / 0B;65 ;07:42:57
angry_edison;117.14%;7.34%;394.6MiB / 5.25GiB;110MB / 5.39MB;0B / 0B;112 ;07:43:04
angry_edison;87.52%;7.81%;419.9MiB / 5.25GiB;110MB / 5.46MB;0B / 0B;114 ;07:43:11
angry_edison;142.97%;6.28%;337.6MiB / 5.25GiB;111MB / 5.54MB;0B / 0B;68 ;07:43:18
angry_edison;129.64%;7.05%;379.2MiB / 5.25GiB;111MB / 5.6MB;0B / 0B;85 ;07:43:26
angry_edison;93.18%;7.93%;426.4MiB / 5.25GiB;111MB / 5.66MB;0B / 0B;122 ;07:43:33
angry_edison;160.57%;6.22%;334.6MiB / 5.25GiB;112MB / 5.74MB;0B / 0B;70 ;07:43:40
angry_edison;122.39%;7.06%;379.7MiB / 5.25GiB;112MB / 5.79MB;0B / 0B;92 ;07:43:47
angry_edison;87.34%;7.82%;420.3MiB / 5.25GiB;113MB / 5.85MB;0B / 0B;133 ;07:43:54
angry_edison;150.57%;6.30%;338.9MiB / 5.25GiB;113MB / 5.93MB;0B / 0B;63 ;07:44:01
angry_edison;124.94%;6.97%;374.6MiB / 5.25GiB;114MB / 5.98MB;0B / 0B;80 ;07:44:08
angry_edison;115.92%;7.67%;412.2MiB / 5.25GiB;114MB / 6.04MB;0B / 0B;109 ;07:44:15
angry_edison;105.81%;7.92%;425.7MiB / 5.25GiB;115MB / 6.11MB;0B / 0B;116 ;07:44:23
angry_edison;159.51%;6.44%;346.4MiB / 5.25GiB;115MB / 6.17MB;0B / 0B;66 ;07:44:30
angry_edison;116.09%;7.43%;399.6MiB / 5.25GiB;115MB / 6.22MB;0B / 0B;109 ;07:44:37
angry_edison;82.02%;8.42%;452.8MiB / 5.25GiB;116MB / 6.31MB;0B / 0B;110 ;07:44:44
angry_edison;128.43%;6.50%;349.7MiB / 5.25GiB;116MB / 6.36MB;0B / 0B;69 ;07:44:51
angry_edison;104.68%;7.53%;405MiB / 5.25GiB;117MB / 6.42MB;0B / 0B;108 ;07:44:59
