nervous_ride;158.71%;1.17%;63.08MiB / 5.25GiB;451kB / 47kB;0B / 0B;33 ;05:02:36
nervous_ride;187.67%;1.73%;92.89MiB / 5.25GiB;34.3MB / 723kB;0B / 0B;40 ;05:02:43
nervous_ride;112.20%;1.77%;94.91MiB / 5.25GiB;68.1MB / 1.31MB;0B / 0B;40 ;05:02:51
nervous_ride;183.65%;4.32%;232.1MiB / 5.25GiB;98.8MB / 1.82MB;0B / 0B;40 ;05:02:59
nervous_ride;162.01%;9.10%;489.1MiB / 5.25GiB;98.8MB / 1.82MB;0B / 0B;91 ;05:03:06
nervous_ride;208.26%;8.69%;467.4MiB / 5.25GiB;99MB / 1.85MB;0B / 0B;78 ;05:03:13
nervous_ride;109.19%;8.71%;468.1MiB / 5.25GiB;99.3MB / 1.89MB;0B / 0B;77 ;05:03:21
nervous_ride;108.88%;9.26%;497.6MiB / 5.25GiB;99.4MB / 1.92MB;0B / 0B;57 ;05:03:28
nervous_ride;132.49%;9.02%;485.2MiB / 5.25GiB;99.6MB / 1.95MB;0B / 0B;63 ;05:03:35
nervous_ride;110.71%;9.13%;490.8MiB / 5.25GiB;99.9MB / 1.99MB;0B / 0B;70 ;05:03:42
nervous_ride;108.72%;9.59%;515.6MiB / 5.25GiB;100MB / 2.02MB;0B / 0B;96 ;05:03:49
nervous_ride;230.01%;9.69%;521MiB / 5.25GiB;100MB / 2.05MB;0B / 0B;94 ;05:03:57
nervous_ride;201.27%;9.66%;519.1MiB / 5.25GiB;101MB / 2.09MB;0B / 0B;92 ;05:04:04
nervous_ride;140.36%;9.67%;519.6MiB / 5.25GiB;101MB / 2.13MB;0B / 0B;96 ;05:04:11
nervous_ride;189.09%;9.98%;536.3MiB / 5.25GiB;101MB / 2.17MB;0B / 0B;98 ;05:04:18
nervous_ride;127.27%;9.40%;505.2MiB / 5.25GiB;101MB / 2.23MB;0B / 0B;79 ;05:04:26
nervous_ride;118.10%;8.08%;434.6MiB / 5.25GiB;102MB / 2.27MB;0B / 0B;50 ;05:04:33
nervous_ride;111.58%;8.38%;450.5MiB / 5.25GiB;102MB / 2.3MB;0B / 0B;58 ;05:04:40
nervous_ride;111.23%;8.96%;481.6MiB / 5.25GiB;102MB / 2.33MB;0B / 0B;62 ;05:04:47
nervous_ride;106.15%;8.85%;475.5MiB / 5.25GiB;102MB / 2.36MB;0B / 0B;59 ;05:04:55
nervous_ride;110.39%;8.90%;478.7MiB / 5.25GiB;102MB / 2.4MB;0B / 0B;57 ;05:05:02
nervous_ride;110.46%;8.96%;481.9MiB / 5.25GiB;103MB / 2.43MB;0B / 0B;62 ;05:05:09
nervous_ride;119.35%;8.95%;481MiB / 5.25GiB;103MB / 2.46MB;0B / 0B;62 ;05:05:16
nervous_ride;116.25%;9.15%;492MiB / 5.25GiB;103MB / 2.5MB;0B / 0B;70 ;05:05:24
nervous_ride;137.41%;9.21%;495.2MiB / 5.25GiB;103MB / 2.53MB;0B / 0B;66 ;05:05:31
nervous_ride;107.82%;9.17%;493.1MiB / 5.25GiB;104MB / 2.57MB;0B / 0B;84 ;05:05:38
nervous_ride;99.45%;9.40%;505.5MiB / 5.25GiB;104MB / 2.6MB;0B / 0B;96 ;05:05:46
nervous_ride;217.29%;9.63%;517.4MiB / 5.25GiB;104MB / 2.63MB;0B / 0B;96 ;05:05:53
nervous_ride;133.55%;9.24%;496.5MiB / 5.25GiB;104MB / 2.67MB;0B / 0B;66 ;05:06:00
nervous_ride;118.73%;9.13%;491MiB / 5.25GiB;104MB / 2.7MB;0B / 0B;76 ;05:06:08
nervous_ride;134.87%;9.14%;491.3MiB / 5.25GiB;105MB / 2.74MB;0B / 0B;79 ;05:06:15
nervous_ride;113.22%;9.37%;503.8MiB / 5.25GiB;105MB / 2.77MB;0B / 0B;96 ;05:06:22
nervous_ride;167.56%;9.41%;505.6MiB / 5.25GiB;105MB / 2.81MB;0B / 0B;92 ;05:06:29
nervous_ride;96.35%;9.35%;502.6MiB / 5.25GiB;105MB / 2.84MB;0B / 0B;95 ;05:06:37
nervous_ride;125.46%;9.46%;508.8MiB / 5.25GiB;106MB / 2.88MB;0B / 0B;96 ;05:06:44
nervous_ride;119.86%;9.54%;513MiB / 5.25GiB;106MB / 2.93MB;0B / 0B;99 ;05:06:51
nervous_ride;118.35%;7.38%;397MiB / 5.25GiB;106MB / 2.99MB;0B / 0B;35 ;05:06:58
nervous_ride;119.93%;8.06%;433.3MiB / 5.25GiB;106MB / 3.02MB;0B / 0B;55 ;05:07:06
nervous_ride;108.08%;8.24%;443MiB / 5.25GiB;107MB / 3.05MB;0B / 0B;58 ;05:07:13
nervous_ride;117.78%;8.88%;477.2MiB / 5.25GiB;107MB / 3.08MB;0B / 0B;70 ;05:07:20
nervous_ride;139.33%;9.01%;484.5MiB / 5.25GiB;107MB / 3.11MB;0B / 0B;74 ;05:07:27
nervous_ride;109.14%;8.69%;467.1MiB / 5.25GiB;107MB / 3.15MB;0B / 0B;57 ;05:07:35
nervous_ride;111.05%;8.50%;457.1MiB / 5.25GiB;107MB / 3.18MB;0B / 0B;62 ;05:07:42
nervous_ride;108.80%;8.39%;451.1MiB / 5.25GiB;108MB / 3.22MB;0B / 0B;58 ;05:07:49
nervous_ride;110.53%;8.45%;454.4MiB / 5.25GiB;108MB / 3.26MB;0B / 0B;57 ;05:07:56
nervous_ride;114.01%;8.55%;459.5MiB / 5.25GiB;108MB / 3.3MB;0B / 0B;57 ;05:08:04
nervous_ride;154.98%;8.91%;478.8MiB / 5.25GiB;109MB / 3.33MB;0B / 0B;95 ;05:08:11
nervous_ride;143.56%;9.19%;494MiB / 5.25GiB;109MB / 3.37MB;0B / 0B;96 ;05:08:18
nervous_ride;199.16%;9.00%;484MiB / 5.25GiB;109MB / 3.41MB;0B / 0B;97 ;05:08:25
nervous_ride;137.95%;8.70%;467.8MiB / 5.25GiB;109MB / 3.45MB;0B / 0B;67 ;05:08:33
nervous_ride;109.85%;8.20%;440.8MiB / 5.25GiB;110MB / 3.49MB;0B / 0B;60 ;05:08:40
nervous_ride;110.05%;8.16%;438.5MiB / 5.25GiB;110MB / 3.53MB;0B / 0B;58 ;05:08:47
nervous_ride;110.27%;8.18%;439.5MiB / 5.25GiB;110MB / 3.56MB;0B / 0B;59 ;05:08:55
nervous_ride;113.13%;8.20%;440.6MiB / 5.25GiB;110MB / 3.6MB;0B / 0B;55 ;05:09:02
nervous_ride;108.38%;7.62%;409.7MiB / 5.25GiB;111MB / 3.64MB;0B / 0B;58 ;05:09:09
nervous_ride;107.53%;7.59%;408.3MiB / 5.25GiB;111MB / 3.67MB;0B / 0B;57 ;05:09:17
nervous_ride;106.51%;7.51%;404MiB / 5.25GiB;111MB / 3.71MB;0B / 0B;58 ;05:09:24
nervous_ride;109.23%;7.82%;420.5MiB / 5.25GiB;111MB / 3.74MB;0B / 0B;54 ;05:09:31
